"","production_countries.name","budget_mean","maturecontent_sum","notmature_sum","income_level","RELIGION_IMPORT","HOMOSEXUALITY","GENDER_EQUALITY"
"1115","South Korea",377732.70977918,181,770,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"1116","Spain",519514.463392857,150,970,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"1117","Sweden",200435.246987952,90,408,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"1118","Tunisia",714.285714285714,1,13,"Lower middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"1119","Turkey",239944.548295455,68,284,"Upper middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"1120","Ukraine",289352.47,15,85,"Lower middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"1121","United Kingdom",1496293.43582704,533,2381,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"1122","United States of America",2223976.84860624,3254,8728,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"1123","Argentina",135584.590643275,70,443,"Upper middle income","Very important","Homosexuality should be accepted by society","Very important"
"1124","Australia",1139590.29596413,140,529,"High income","Very important","Homosexuality should be accepted by society","Very important"
"1125","Brazil",368178.274867122,89,1228,"Upper middle income","Very important","Homosexuality should be accepted by society","Very important"
"1126","Bulgaria",1940223.24691358,9,72,"Upper middle income","Very important","Homosexuality should be accepted by society","Very important"
"1127","Canada",1576406.07352234,565,1516,"High income","Very important","Homosexuality should be accepted by society","Very important"
"1128","Czech Republic",442268.618243243,24,272,"High income","Very important","Homosexuality should be accepted by society","Very important"
"1129","France",595447.064901156,213,2468,"High income","Very important","Homosexuality should be accepted by society","Very important"
"1130","Germany",187527.304303626,329,2622,"High income","Very important","Homosexuality should be accepted by society","Very important"
"1131","Greece",106367.875647668,13,180,"High income","Very important","Homosexuality should be accepted by society","Very important"
"1132","Hungary",735550.237179487,17,139,"High income","Very important","Homosexuality should be accepted by society","Very important"
"1133","India",741780.788833859,691,1530,"Lower middle income","Very important","Homosexuality should be accepted by society","Very important"
"1134","Indonesia",102773.857855362,98,303,"Lower middle income","Very important","Homosexuality should be accepted by society","Very important"
"1135","Israel",63675.1828571429,10,165,"High income","Very important","Homosexuality should be accepted by society","Very important"
"1136","Italy",201833.538461538,101,692,"High income","Very important","Homosexuality should be accepted by society","Very important"
"1137","Japan",299509.9872579,438,1524,"High income","Very important","Homosexuality should be accepted by society","Very important"
"1138","Kenya",0.764705882352941,1,16,"Lower middle income","Very important","Homosexuality should be accepted by society","Very important"
"1139","Lebanon",0,1,48,"Upper middle income","Very important","Homosexuality should be accepted by society","Very important"
"1140","Lithuania",23594.1176470588,6,45,"High income","Very important","Homosexuality should be accepted by society","Very important"
"1141","Mexico",358732.433198381,63,431,"Upper middle income","Very important","Homosexuality should be accepted by society","Very important"
"1142","Netherlands",69708.4337152209,37,574,"High income","Very important","Homosexuality should be accepted by society","Very important"
"1143","Nigeria",21600.04,6,44,"Lower middle income","Very important","Homosexuality should be accepted by society","Very important"
"1144","Philippines",11036.5712250712,110,592,"Lower middle income","Very important","Homosexuality should be accepted by society","Very important"
"1145","Poland",166440.397212544,34,253,"High income","Very important","Homosexuality should be accepted by society","Very important"
"1146","Russia",834350.628899836,74,535,"Upper middle income","Very important","Homosexuality should be accepted by society","Very important"
"1147","Slovakia",183506.340425532,5,42,"High income","Very important","Homosexuality should be accepted by society","Very important"
"1148","South Africa",936963.884615385,29,153,"Upper middle income","Very important","Homosexuality should be accepted by society","Very important"
"1149","South Korea",377732.70977918,181,770,"High income","Very important","Homosexuality should be accepted by society","Very important"
"1150","Spain",519514.463392857,150,970,"High income","Very important","Homosexuality should be accepted by society","Very important"
"1151","Sweden",200435.246987952,90,408,"High income","Very important","Homosexuality should be accepted by society","Very important"
"1152","Tunisia",714.285714285714,1,13,"Lower middle income","Very important","Homosexuality should be accepted by society","Very important"
"1153","Turkey",239944.548295455,68,284,"Upper middle income","Very important","Homosexuality should be accepted by society","Very important"
"1154","Ukraine",289352.47,15,85,"Lower middle income","Very important","Homosexuality should be accepted by society","Very important"
"1155","United Kingdom",1496293.43582704,533,2381,"High income","Very important","Homosexuality should be accepted by society","Very important"
"1156","United States of America",2223976.84860624,3254,8728,"High income","Very important","Homosexuality should be accepted by society","Very important"
